word|phonemes
שֶׁל|ʃel
אַתְּ|at
אֶת|et
עַל|al
לֹא|lo
הוּא|hu
עִם|im
עַם|am
כִּי|ki
הָיָה|aja
זֶה|ze
גַּם|gam
ב|be
כָּל|kol
ה|a
בֵּין|bein
בֵּין|bin
אוֹ|o
אֶל|el
אַל|al
אַךְ|ax
יוֹתֵר|joter
הִיא|hi
לְאַחַר|leˈaxar
לֵאָחֵר|leˈaxer
לָאַחֵר|laˈaxer
אֲבָל|aval
אֵבֶל|evel
אָבֵל|avel
לֵ|le
לַ|la
הָיוּ|aju
עַד|ad
עֵד|ed
זוֹ|zo
הֵם|hem
אָשֵׁר|aʃer
הָיְתָה|aita
בִּשְׁנַת|biʃnat
כָּךְ|kax
רַק|rak
אַף|af
בְּיוֹתֵר|bejoter
אֲנִי|ani
עוֹד|od
עֻוד|ud
רַבִּים|rabim
רָבִים|ravim
כְּמוֹ|kmo
בַּיִת|ˈbajit
אִם|im
אֵם|em
זֹאת|zot
שָׁם|ʃam
שֵׁם|ʃem
יֵשׁ|jeʃ
מָה|ma
לִי|li
כֵּן|ken
כַּן|kan
כ|xe
לוֹ|lo
לוּ|lu
מִסְפַּר|mispar
מֵסַפֵר|mesaper
בּוֹ|bo
הָעִיר|aˈir
הֵעִיר|heˈir
מ|me
כְּדֵי|kedei
אוֹתוֹ|oto
דָּבָר|davar
דֶּבֶר|ˈdever
דַּבֵּר|daber
וְ|ve
וּ|u
בְּכָל|bexol
אֵלּוּ|ˈelu
שֵׁנִי|ʃeni
שְׁנֵי|ʃnei
שַׁנִּי|ʃani
אֵלֶּה|ˈele
אֵלָה|ela
אַלָּה|ala
כַּאֲשֶׁר|kaˈaʃer
אֵין|ein
אַיִן|ain
אָמַר|amar
בְּאֹפֶן|beˈofen
הַבְּרִית|abrit
מִן|min
שֶׁלֹּא|ʃelo
יַדַי|jadai
יַדִי|jadi
יְדֵי|jedei
לִפְנֵי|lifnei
הֵן|hen
הָעוֹלָם|aˈolam
פִּי|pi
בְּמַהֲלַךְ|bemaalax
שֶׁלּוֹ|ʃelo
שָׁלֵו|ʃalev
בָּהּ|ba
מְאֹד|meˈod
נִתָּן|nitan
נִתֵּן|niten
אָז|az
