# https://github.com/savoirfairelinux/num2words/blob/master/num2words/lang_HE.py

שקל ʃɛˈkel
שקלים ʃɛˈklim
אגורה ʔaˈɡoɾa
אגורות ʔaˈɡoɾot
אירו ʔiˈɾo
אירו ʔiˈɾo
סנט sɛnt
סנטים sɛntim
דולר ˈdolar
דולרים doˈlarim
סנט sɛnt
סנטים sɛntim

ILS ʃɛˈklim
EUR ʔiˈɾo
USD doˈlarim


מינוס ˈminus
נקודה nɛkuˈda

אפס ˈefes


אחת ʔaˈxat
אחד ʔeˈxad
אחת ʔaˈxat
אחד ʔeˈxad
ראשונה ʁiʃoˈna
ראשון ʁiˈʃon
ראשונות ʁiʃoˈnot
ראשונים ʁiʃoˈnim

שתיים ʃˈtaim
שניים ʃˈneim
שתי ʃte
שני ʃni
שנייה ʃniˈa
שני ʃni
שניות ʃniˈot
שניים ʃˈneim

שלוש ʃaˈloʃ
שלושה ʃloˈʃa
שלוש ʃaˈloʃ
שלושת ʃloˈʃet
שלישית ʃliˈʃit
שלישי ʃliˈʃi
שלישיות ʃliˈʃiʊt
שלישיים ʃliˈʃim

ארבע ʔaʁˈba
ארבעה ʔaʁˈbaʔa
ארבע ʔaʁˈba
ארבעת ʔaʁˈbaʔat
רביעית ʁeviˈit
רביעי ʁeˈviʔi
רביעיות ʁeviˈut
רביעיים ʁeviˈim

חמש xamesh
חמישה xamiˈsha
חמשת xameshet
חמישית xamiˈshit
חמישי xamiˈshi
חמישיות xamiˈshiʊt
חמישיים xamiˈshim


שש ʃeʃ
שישה ʃiˈʃa
שש ʃeʃ
ששת ʃeˈʃet
שישית ʃiˈʃit
שישי ʃiˈʃi
שישיות ʃiˈʃiʊt
שישיים ʃiˈʃim

שבע ʃeˈva
שבעה ʃeˈvaʔa
שבע ʃeˈva
שבעת ʃeˈvat
שביעית ʃviˈit
שביעי ʃviˈi
שביעיות ʃviˈiʊt
שביעיים ʃviˈim

שמונה ʃmoˈne
שמונה ʃmoˈne
שמונה ʃmoˈne
שמונת ʃmoˈnat
שמינית ʃmiˈnit
שמיני ʃmiˈni
שמיניות ʃmiˈniʊt
שמיניים ʃmiˈnim

תשע ˈteʃa
תשעה ˈteʃaʔa
תשע ˈteʃa
תשעת ˈteʃat
תשיעית tʃiˈit
תשיעי tʃiˈi
תשיעיות tʃiˈiʊt
תשיעיים tʃiˈim


עשר ˈɛser
עשרה ʔaˈseʁa
עשר ˈɛser
עשרת ʔaˈseʁet
עשירית ʔaʃiˈrit
עשירי ʔaʃiˈri
עשיריות ʔaʃiˈriʊt
עשיריים ʔaʃiˈrim

עשרה ʔaˈseʁa
עשר ˈɛser

שתים עשרה ʃteˈmɛ ʔaˈseʁa
שנים עשר ʃnaˈim ˈɛser


עשרים ʔeˈsɾim
שלושים ʃloˈʃim
ארבעים ʔaʁˈbiʔim
חמישים ʃaˈmiʃim
שישים ʃiˈʃim
שבעים ʃiˈvim
שמונים ʃmoˈnim
תשעים tiˈʃim


מאה ˈmeʔa
מאת maˈʔat
מאתיים meˈtaʔim
מאות meˈʔot

אלף ˈʔelef

אלפיים ʔalˈpaʔim

אלפים ʔalˈfim
אלפי ʔalˈfe


# Large
מיליון miˈljon
מיליוני miˈljone

מיליארד miˈljard
מיליארדי miˈljarde

טריליון tʁiˈljon
טריליוני tʁiˈljoni

קוודריליון kʷadʁiˈljon
קוודריליוני kʷadʁiˈljoni

קווינטיליון kʷinˈtɪljon
קווינטיליוני kʷinˈtɪljoni

סקסטיליון sˈeksˈtɪljon
סקסטיליוני sˈeksˈtɪljoni

ספטיליון sɛpˈtɪljon
ספטיליוני sɛpˈtɪljoni

אוקטיליון ɔkˈtɪljon
אוקטיליוני ɔkˈtɪljoni

נוניליון noˈnɪljon
נוניליוני noˈnɪljoni

דסיליון dɛsˈtɪljon
דסיליוני dɛsˈtɪljoni

אונדסיליון ʔundɛsˈtɪljon
אונדסיליוני ʔundɛsˈtɪljoni

דואודסיליון dɔˈʔudɛsˈtɪljon
דואודסיליוני dɔˈʔudɛsˈtɪljoni

טרדסיליון tɛʁdɛsˈtɪljon
טרדסיליוני tɛʁdɛsˈtɪljoni

קווטואורדסיליון kʷaʊtɔˈoʁdɛsˈtɪljon
קווטואורדסיליוני kʷaʊtɔˈoʁdɛsˈtɪljoni

קווינדסיליון kʷvindɛsˈtɪljon
קווינדסיליוני kʷvindɛsˈtɪljoni

סקסדסיליון sɛksdɛsˈtɪljon
סקסדסיליוני sɛksdɛsˈtɪljoni

ספטנדסיליון sɛptandɛsˈtɪljon
ספטנדסיליוני sɛptandɛsˈtɪljoni

אוקטודסיליון ɔkˈtudɛsˈtɪljon
אוקטודסיליוני ɔkˈtudɛsˈtɪljoni

נובמדסיליון noˈbmedɛsˈtɪljon
נובמדסיליוני noˈbmedɛsˈtɪljoni

ויגינטיליון vijinˈtɪljon
ויגינטיליוני vijinˈtɪljoni
